Timestamp,X,Y,Z,Battery,Comms
2025-06-06 22:48:48,569,568,571,1,ON
2025-06-06 22:48:48,570,-569,569,1,ON
2025-06-06 22:48:49,-545,-3,-211,2,ON
2025-06-06 22:48:49,547,-4,-421,1,ON
2025-06-06 22:48:49,-559,0,376,1,ON
2025-06-06 22:48:50,516,101,-393,1,ON
2025-06-06 22:48:50,-13,-66,15,1,ON
2025-06-06 22:48:51,3,-54,-141,1,ON
2025-06-06 22:48:51,38,90,166,1,ON
2025-06-06 22:48:51,53,46,104,1,ON
2025-06-06 22:48:52,35,-182,-226,1,ON
2025-06-06 22:48:52,-10,82,179,0,ON
2025-06-06 22:48:53,-22,-252,-292,1,ON
2025-06-06 22:48:53,55,98,150,1,ON
2025-06-06 22:48:53,-53,-68,-60,1,ON
2025-06-06 22:48:54,-13,28,79,1,ON
2025-06-06 22:48:54,46,-115,-164,2,ON
2025-06-06 22:48:55,-37,81,203,3,ON
2025-06-06 22:48:55,17,-106,-141,2,ON
2025-06-06 22:48:55,54,94,109,2,ON
2025-06-06 22:48:56,-177,-8,4,2,ON
2025-06-06 22:48:56,31,-88,-257,2,ON
2025-06-06 22:48:57,12,92,269,2,ON
2025-06-06 22:48:57,-58,-153,-224,1,ON
2025-06-06 22:48:57,17,-5,83,2,ON
2025-06-06 22:48:58,17,-131,-227,1,ON
2025-06-06 22:48:58,-73,123,129,1,ON
2025-06-06 22:48:59,35,-37,-37,1,ON
2025-06-06 22:48:59,22,-29,15,2,ON
2025-06-06 22:48:59,36,38,-52,1,ON
2025-06-06 22:49:00,27,-9,31,1,ON
2025-06-06 22:49:00,26,87,16,1,ON
2025-06-06 22:49:01,11,-71,-54,1,ON
2025-06-06 22:49:01,64,12,1,1,ON
2025-06-06 22:49:01,103,6,133,1,ON
2025-06-06 22:49:02,-77,-89,-83,1,ON
2025-06-06 22:49:02,146,33,179,1,ON
2025-06-06 22:49:03,-168,-141,-199,1,ON
2025-06-06 22:49:03,136,-25,125,2,ON
2025-06-06 22:49:03,-72,-3,-121,1,ON
2025-06-06 22:49:04,123,-42,-55,1,ON
2025-06-06 22:49:04,-188,124,-110,1,ON
2025-06-06 22:49:05,226,-3,-71,1,ON
2025-06-06 22:49:05,-158,19,-81,2,ON
2025-06-06 22:49:05,92,-150,95,1,ON
2025-06-06 22:49:06,28,62,-62,1,ON
2025-06-06 22:49:06,-66,-297,186,1,ON
2025-06-06 22:49:07,206,74,-152,2,ON
2025-06-06 22:49:07,-51,-236,89,1,ON
2025-06-06 22:49:07,3,155,-194,2,ON
2025-06-06 22:49:08,68,50,-48,2,ON
2025-06-06 22:49:08,-57,-257,93,1,ON
2025-06-06 22:49:09,159,519,-328,1,ON
2025-06-06 22:49:09,-130,-337,130,0,ON
2025-06-06 22:49:09,-100,17,59,1,ON
2025-06-06 22:49:10,97,390,-227,1,ON
2025-06-06 22:49:10,-105,-248,125,1,ON
2025-06-06 22:49:11,41,160,-167,0,ON
2025-06-06 22:49:11,75,-127,142,1,ON
2025-06-06 22:49:11,-225,-106,-201,1,ON
2025-06-06 22:49:12,154,210,39,1,ON
2025-06-06 22:49:12,-39,-91,-30,1,ON
2025-06-06 22:49:13,32,63,-4,1,ON
2025-06-06 22:49:13,30,4,-3,1,ON
2025-06-06 22:49:13,78,-216,98,1,ON
2025-06-06 22:49:14,-222,-272,-118,1,ON
2025-06-06 22:49:14,300,253,124,1,ON
2025-06-06 22:49:15,-241,-217,-228,1,ON
2025-06-06 22:49:15,232,135,168,2,ON
2025-06-06 22:49:15,-47,-96,60,1,ON
2025-06-06 22:49:16,99,193,91,1,ON
2025-06-06 22:49:16,-119,-151,-220,1,ON
2025-06-06 22:49:17,218,163,86,1,ON
2025-06-06 22:49:17,22,26,85,1,ON
2025-06-06 22:49:17,-213,-111,-143,1,ON
2025-06-06 22:49:18,200,172,222,1,ON
2025-06-06 22:49:18,-140,-279,-168,0,ON
2025-06-06 22:49:19,277,324,93,1,ON
2025-06-06 22:49:19,-192,-182,-140,1,ON
2025-06-06 22:49:19,129,23,143,1,ON
2025-06-06 22:49:20,-130,-89,-92,2,ON
2025-06-06 22:49:20,140,45,103,1,ON
2025-06-06 22:49:21,-23,23,-48,1,ON
2025-06-06 22:49:21,-2,1,-5,0,ON
2025-06-06 22:49:21,65,44,35,0,ON
2025-06-06 22:49:22,-62,-21,-51,1,ON
2025-06-06 22:49:22,128,68,96,0,ON
2025-06-06 22:49:23,-161,-39,-176,2,ON
2025-06-06 22:49:23,85,79,81,1,ON
2025-06-06 22:49:23,48,39,32,1,ON
2025-06-06 22:49:24,16,13,0,1,ON
2025-06-06 22:49:24,114,-188,103,1,ON
2025-06-06 22:49:25,-32,52,31,1,ON
2025-06-06 22:49:25,19,152,138,1,ON
2025-06-06 22:49:25,-20,-17,25,1,ON
2025-06-06 22:49:26,154,174,221,1,ON
2025-06-06 22:49:26,-41,-36,-22,2,ON
2025-06-06 22:49:27,111,75,226,1,ON
2025-06-06 22:49:27,-158,-41,-194,0,ON
2025-06-06 22:49:27,219,95,297,1,ON
2025-06-06 22:49:28,-177,-292,-298,1,ON
2025-06-06 22:49:28,155,47,245,1,ON
2025-06-06 22:49:29,-5,1,13,0,ON
2025-06-06 22:49:29,-58,-16,33,1,ON
2025-06-06 22:49:29,62,-15,-45,1,ON
2025-06-06 22:49:30,-80,-137,-5,1,ON
2025-06-06 22:49:30,11,-5,-82,0,ON
2025-06-06 22:49:30,-56,-55,0,1,ON
2025-06-06 22:49:31,7,26,46,0,ON
2025-06-06 22:49:31,43,-320,-270,0,ON
2025-06-06 22:49:32,193,-119,52,0,ON
2025-06-06 22:49:32,-270,-20,-182,1,ON
2025-06-06 22:49:32,198,7,187,1,ON
2025-06-06 22:49:33,-268,-47,-312,2,ON
2025-06-06 22:49:33,213,67,174,1,ON
2025-06-06 22:49:34,-167,-277,-319,1,ON
2025-06-06 22:49:34,132,142,308,1,ON
2025-06-06 22:49:34,-95,-248,-300,1,ON
2025-06-06 22:49:35,110,136,185,2,ON
2025-06-06 22:49:35,-77,-121,-96,1,ON
2025-06-06 22:49:36,51,86,87,1,ON
2025-06-06 22:49:36,15,-19,-4,1,ON
2025-06-06 22:49:36,-28,15,0,1,ON
2025-06-06 22:49:37,-94,-154,-86,1,ON
2025-06-06 22:49:37,62,57,108,0,ON
2025-06-06 22:49:38,-22,-32,-45,1,ON
2025-06-06 22:49:38,-32,51,46,1,ON
2025-06-06 22:49:38,70,-10,84,1,ON
2025-06-06 22:49:39,2,-6,-17,1,ON
2025-06-06 22:49:39,-91,-118,-117,1,ON
2025-06-06 22:49:40,68,41,146,1,ON
2025-06-06 22:49:40,-62,-30,-107,1,ON
2025-06-06 22:49:40,22,35,31,1,ON
2025-06-06 22:49:41,86,17,98,1,ON
2025-06-06 22:49:41,-138,-76,-93,1,ON
2025-06-06 22:49:42,83,116,132,1,ON
2025-06-06 22:49:42,-110,-241,-163,1,ON
2025-06-06 22:49:42,55,108,167,1,ON
2025-06-06 22:49:43,28,-46,-3,1,ON
2025-06-06 22:49:43,-167,-196,-72,1,ON
2025-06-06 22:49:44,159,147,201,1,ON
2025-06-06 22:49:44,-111,-35,-66,1,ON
2025-06-06 22:49:44,86,-62,14,0,ON
2025-06-06 22:49:45,0,-16,3,1,ON
2025-06-06 22:49:45,1,0,-2,1,ON
2025-06-06 22:49:46,-143,-60,-119,2,ON
2025-06-06 22:49:46,-1,11,15,1,ON
2025-06-06 22:49:46,-63,-33,-60,1,ON
2025-06-06 22:49:47,51,-19,38,1,ON
2025-06-06 22:49:47,28,14,36,1,ON
2025-06-06 22:49:48,149,25,92,1,ON
2025-06-06 22:49:48,-217,-225,-200,1,ON
2025-06-06 22:49:48,160,120,139,1,ON
2025-06-06 22:49:49,-247,-169,-169,1,ON
2025-06-06 22:49:49,76,77,119,1,ON
2025-06-06 22:49:50,45,-6,45,1,ON
2025-06-06 22:49:50,-70,-99,-95,1,ON
2025-06-06 22:49:50,-28,15,41,1,ON
2025-06-06 22:49:51,65,14,39,1,ON
2025-06-06 22:49:51,-53,-76,-234,1,ON
2025-06-06 22:49:52,227,162,224,1,ON
2025-06-06 22:49:52,-269,-143,-101,1,ON
2025-06-06 22:49:52,105,-58,93,0,ON
2025-06-06 22:49:53,0,37,56,1,ON
2025-06-06 22:49:53,183,57,113,1,ON
2025-06-06 22:49:54,-195,-63,-110,0,ON
2025-06-06 22:49:54,261,101,181,1,ON
2025-06-06 22:49:54,-253,-183,-217,1,ON
2025-06-06 22:49:55,246,-15,50,1,ON
2025-06-06 22:49:55,14,-5,-6,1,ON
2025-06-06 22:49:56,12,-65,-100,1,ON
2025-06-06 22:49:56,106,91,121,1,ON
2025-06-06 22:49:56,-91,-51,-100,1,ON
2025-06-06 22:49:57,80,-5,144,1,ON
2025-06-06 22:49:57,-15,22,-45,1,ON
2025-06-06 22:49:58,-14,-51,-10,1,ON
2025-06-06 22:49:58,4,12,0,1,ON
2025-06-06 22:49:58,-3,-2,-1,1,ON
